sid,moA,coA,moB,coB
1,11,11,40,40
2,11,11,69,69
3,11,11,11,40
4,11,11,40,69
5,11,11,69,11
6,11,11,11,69
7,11,11,40,11
8,11,11,69,40
9,40,40,69,69
10,40,40,11,40
11,40,40,40,69
12,40,40,69,11
13,40,40,11,69
14,40,40,40,11
15,40,40,69,40
16,69,69,11,40
17,69,69,40,69
18,69,69,69,11
19,69,69,11,69
20,69,69,40,11
21,69,69,69,40
22,11,40,40,69
23,11,40,69,11
24,11,40,11,69
25,11,40,40,11
26,11,40,69,40
27,40,69,69,11
28,40,69,11,69
29,40,69,40,11
30,40,69,69,40
31,69,11,11,69
32,69,11,40,11
33,69,11,69,40
34,11,69,40,11
35,11,69,69,40
36,40,11,69,40
37,19,25,22,28
38,28,22,31,25
39,25,31,28,34
40,34,28,37,31
41,49,43,52,46
42,46,52,49,55
43,55,49,58,52
44,52,58,55,61
45,19,22,28,31
46,25,22,34,31
47,25,28,34,37
48,46,43,55,52
49,46,49,55,58
50,52,49,61,58
51,31,19,34,22
52,22,34,25,37
53,55,43,58,46
54,46,58,49,61
55,19,22,25,31
56,28,25,34,34
57,31,34,37,43
58,46,43,52,52
59,46,49,52,58
60,52,49,58,58
61,22,19,31,25
62,25,28,34,34
63,34,31,43,37
64,43,46,52,52
65,49,46,58,52
66,49,52,58,58
67,19,25,22,37
68,28,22,31,34
69,31,25,34,37
70,31,37,34,49
71,43,49,46,61
72,52,46,55,58
73,25,19,37,22
74,22,28,34,31
75,25,31,37,34
76,37,31,49,34
77,49,43,61,46
78,46,52,58,55
79,25,25,28,55
80,28,28,58,31